"Localidade";"Variável";"2017";"2018";"2019"
"Guapó";"Foco de queimada  (número)";"-";"-";"36"
"Guaraíta";"Foco de queimada  (número)";"-";"3";"-"
"Guarani de Goiás";"Foco de queimada  (número)";"17";"24";"12"
"Guarinos";"Foco de queimada  (número)";"2";"1";"15"
"Heitoraí";"Foco de queimada  (número)";"5";"1";"2"
"Hidrolândia";"Foco de queimada  (número)";"14";"6";"22"
"Hidrolina";"Foco de queimada  (número)";"4";"9";"5"
"Iaciara";"Foco de queimada  (número)";"26";"26";"10"
"Inaciolândia";"Foco de queimada  (número)";"12";"24";"11"
"Indiara";"Foco de queimada  (número)";"17";"8";"46"
"Inhumas";"Foco de queimada  (número)";"11";"3";"17"
"Ipameri";"Foco de queimada  (número)";"78";"48";"42"
"Ipiranga de Goiás";"Foco de queimada  (número)";"-";"2";"5"
"Iporá";"Foco de queimada  (número)";"4";"3";"6"
"Israelândia";"Foco de queimada  (número)";"1";"1";"-"
"Itaberaí";"Foco de queimada  (número)";"11";"6";"26"
"Itaguari";"Foco de queimada  (número)";"1";"-";"3"
"Itaguaru";"Foco de queimada  (número)";"1";"-";"-"
"Itajá";"Foco de queimada  (número)";"7";"3";"9"
"Itapaci";"Foco de queimada  (número)";"5";"5";"21"
"Itapirapuã";"Foco de queimada  (número)";"7";"16";"24"
"Itapuranga";"Foco de queimada  (número)";"10";"9";"7"
"Itarumã";"Foco de queimada  (número)";"12";"6";"20"
"Itauçu";"Foco de queimada  (número)";"-";"-";"4"
"Itumbiara";"Foco de queimada  (número)";"116";"57";"153"
"Ivolândia";"Foco de queimada  (número)";"6";"5";"2"
"Jandaia";"Foco de queimada  (número)";"13";"3";"12"
"Jaraguá";"Foco de queimada  (número)";"26";"20";"25"
"Jataí";"Foco de queimada  (número)";"110";"62";"119"
"Jaupaci";"Foco de queimada  (número)";"5";"2";"20"
"Jesúpolis";"Foco de queimada  (número)";"1";"-";"1"
"Joviânia";"Foco de queimada  (número)";"-";"1";"1"
"Jussara";"Foco de queimada  (número)";"16";"10";"52"
"Lagoa Santa";"Foco de queimada  (número)";"-";"-";"3"
"Leopoldo de Bulhões";"Foco de queimada  (número)";"3";"3";"9"
"Luziânia";"Foco de queimada  (número)";"53";"24";"47"
"Mairipotaba";"Foco de queimada  (número)";"3";"7";"2"
"Mambaí";"Foco de queimada  (número)";"34";"2";"10"
"Mara Rosa";"Foco de queimada  (número)";"13";"17";"12"
"Marzagão";"Foco de queimada  (número)";"-";"1";"2"
"Matrinchã";"Foco de queimada  (número)";"11";"7";"7"
"Maurilândia";"Foco de queimada  (número)";"33";"24";"13"
